,Nr.,Tag,Datum,Heim,Gast,Spielhalle,Team,Kampfgericht
2,8.0,2.0,2024-09-20 19:00:00,DJK Frankenberg 2,Brander TV Aachen 3,Geschwister-Scholl-Gymnasium (obere Halle),herren2,damen1
1,7.0,2.0,2024-09-28 14:00:00,DJK Frankenberg 2,TV Grafenberg,Einhard-Gymnasium (Halle 1),damen2,herren1
1,7.0,2.0,2024-09-28 16:00:00,DJK Frankenberg,BG Aachen 2,Einhard-Gymnasium (Halle 1),herren1,damen2
2,7.0,2.0,2024-09-28 18:00:00,DJK Frankenberg,UBC Münster,Einhard-Gymnasium (Halle 1),damen1,damen3
0,41.0,9.0,2024-09-28 20:00:00,DJK Frankenberg 3,BG Aachen 2,Einhard-Gymnasium (Halle 1),damen3,damen1
6,18.0,4.0,2024-10-04 19:00:00,DJK Frankenberg 2,Aachener Interkultureller FSV,Geschwister-Scholl-Gymnasium (obere Halle),herren2,u16w
1,10.0,3.0,2024-10-05 13:30:00,DJK Frankenberg Aachen,RheinStars Köln 3,Einhard-Gymnasium (Halle 1),u16w,herren2
8,23.0,5.0,2024-10-28 20:30:00,DJK Frankenberg 2,SG Herzogenrath/Baesweiler 3,Geschwister-Scholl-Gymnasium (obere Halle),herren2,u16w
4,6.0,2.0,2024-11-02 14:00:00,DJK Frankenberg 3,TS Frechen,Einhard-Gymnasium (Halle 1),damen3,damen2
5,19.0,4.0,2024-11-02 16:00:00,DJK Frankenberg 2,BG Shots Kaarst-Büttgen,Einhard-Gymnasium (Halle 1),damen2,damen3
5,19.0,4.0,2024-11-02 18:00:00,DJK Frankenberg,Hürther BC 2,Einhard-Gymnasium (Halle 1),herren1,damen1
6,19.0,4.0,2024-11-02 20:00:00,DJK Frankenberg,Hürther BC,Einhard-Gymnasium (Halle 1),damen1,herren1
7,16.0,4.0,2024-11-12 19:30:00,DJK Frankenberg 3,TV Blatzheim,Einhard-Gymnasium (Halle 1),damen3,herren2
10,31.0,6.0,2024-11-15 20:30:00,DJK Frankenberg,DTV Basketball Köln,Einhard-Gymnasium (Halle 1),damen1,u16w
9,31.0,6.0,2024-11-16 15:30:00,DJK Frankenberg 2,ASG Elsdorf,Einhard-Gymnasium (Halle 1),damen2,herren1
9,31.0,6.0,2024-11-16 17:30:00,DJK Frankenberg,TuS Brauweiler,Einhard-Gymnasium (Halle 1),herren1,damen2
8,2.0,1.0,2024-11-23 13:30:00,DJK Frankenberg Aachen,BC Köln-Pesch,Einhard-Gymnasium (Halle 1),u16w,herren2
15,43.0,9.0,2024-12-06 19:00:00,DJK Frankenberg 2,BG Aachen 4,Geschwister-Scholl-Gymnasium (obere Halle),herren2,u16w
10,26.0,6.0,2024-12-07 14:00:00,DJK Frankenberg 3,TuS Zülpich,Einhard-Gymnasium (Halle 1),damen3,damen2
13,43.0,8.0,2024-12-07 16:00:00,DJK Frankenberg 2,TG Neuss 3,Einhard-Gymnasium (Halle 1),damen2,damen3
13,43.0,8.0,2024-12-07 18:00:00,DJK Frankenberg,Telekom Baskets Bonn 5,Einhard-Gymnasium (Halle 1),herren1,damen1
14,43.0,8.0,2024-12-07 20:00:00,DJK Frankenberg,Talents BonnRhöndorf 2,Einhard-Gymnasium (Halle 1),damen1,herren1
17,47.0,10.0,2024-12-13 19:00:00,DJK Frankenberg 2,"1. BBC Düren ""The Wizards"" 3",Geschwister-Scholl-Gymnasium (obere Halle),herren2,damen2
11,2.0,1.0,2025-01-11 13:30:00,DJK Frankenberg Aachen,TV Blatzheim,Einhard-Gymnasium (Halle 1),u16w,herren2
21,59.0,12.0,2025-01-17 19:00:00,DJK Frankenberg 2,DJK Elmar Kohlscheid,Geschwister-Scholl-Gymnasium (obere Halle),herren2,u16w
19,61.0,11.0,2025-01-18 16:00:00,DJK Frankenberg,Telekom Baskets Bonn 4,Einhard-Gymnasium (Halle 1),herren1,damen1
20,61.0,11.0,2025-01-18 18:00:00,DJK Frankenberg,Gütersloher TV,Einhard-Gymnasium (Halle 1),damen1,herren1
19,71.0,12.0,2025-01-25 14:00:00,DJK Frankenberg 2,BG Aachen,Einhard-Gymnasium (Halle 1),damen2,u16w
21,71.0,12.0,2025-01-25 16:00:00,DJK Frankenberg,TuS Zülpich,Einhard-Gymnasium (Halle 1),herren1,damen1
22,71.0,12.0,2025-01-25 18:00:00,DJK Frankenberg,WINGS Leverkusen 2,Einhard-Gymnasium (Halle 1),damen1,herren1
27,71.0,15.0,2025-02-07 19:00:00,DJK Frankenberg 2,TV 'Eintracht' Mützenich,Geschwister-Scholl-Gymnasium (obere Halle),herren2,u16w
23,81.0,14.0,2025-02-08 14:00:00,DJK Frankenberg 2,TG Neuss 2,Einhard-Gymnasium (Halle 1),damen2,herren1
25,81.0,14.0,2025-02-08 16:00:00,DJK Frankenberg,TS Frechen,Einhard-Gymnasium (Halle 1),herren1,damen2
26,81.0,14.0,2025-02-08 18:00:00,DJK Frankenberg,SG Bergische Löwen,Einhard-Gymnasium (Halle 1),damen1,damen3
18,49.0,10.0,2025-02-08 20:00:00,DJK Frankenberg 3,Pulheimer SC,Einhard-Gymnasium (Halle 1),damen3,damen1
19,22.0,6.0,2025-02-15 13:30:00,DJK Frankenberg Aachen,BG Bonn 3,Einhard-Gymnasium (Halle 1),u16w,damen3
30,84.0,17.0,2025-02-21 19:00:00,DJK Frankenberg 2,BV 88 Eschweiler 2,Geschwister-Scholl-Gymnasium (obere Halle),herren2,damen1
27,96.0,16.0,2025-02-22 14:00:00,DJK Frankenberg 2,SG Herzogenrath/Baesweiler,Einhard-Gymnasium (Halle 1),damen2,herren1
29,96.0,16.0,2025-02-22 16:00:00,DJK Frankenberg,DJK Bad Münstereifel,Einhard-Gymnasium (Halle 1),herren1,damen2
30,96.0,16.0,2025-02-22 18:00:00,DJK Frankenberg,VfL AstroStars Bochum 2,Einhard-Gymnasium (Halle 1),damen1,damen3
31,106.0,18.0,2025-03-15 16:00:00,DJK Frankenberg 2,Mettmann-Sport,Einhard-Gymnasium (Halle 1),damen2,damen1
33,106.0,18.0,2025-03-15 18:00:00,DJK Frankenberg,TV Blatzheim,Einhard-Gymnasium (Halle 1),herren1,damen2
34,106.0,18.0,2025-03-15 20:00:00,DJK Frankenberg,New Basket Oberhausen 2,Einhard-Gymnasium (Halle 1),damen1,herren1
25,33.0,9.0,2025-03-22 13:30:00,DJK Frankenberg Aachen,Pulheimer SC,Einhard-Gymnasium (Halle 1),u16w,herren2
27,77.0,16.0,2025-03-29 14:00:00,DJK Frankenberg 3,Haarener TE,Einhard-Gymnasium (Halle 1),damen3,herren1
37,116.0,20.0,2025-03-29 16:00:00,DJK Frankenberg,Haarener TE,Einhard-Gymnasium (Halle 1),herren1,damen3
38,116.0,20.0,2025-03-29 18:00:00,DJK Frankenberg,TSV Hagen,Einhard-Gymnasium (Halle 1),damen1,damen2
35,116.0,20.0,2025-03-29 20:00:00,DJK Frankenberg 2,Capitol Bascats Düsseldorf 2,Einhard-Gymnasium (Halle 1),damen2,damen1
29,43.0,11.0,2025-04-05 13:30:00,DJK Frankenberg Aachen,SG Sechtem 2,Einhard-Gymnasium (Halle 1),u16w,herren2
39,121.0,21.0,2025-04-05 16:00:00,DJK Frankenberg,SG Herzogenrath/Baesweiler,Einhard-Gymnasium (Halle 1),herren1,damen1
40,121.0,21.0,2025-04-05 18:00:00,DJK Frankenberg,Citybasket Recklinghausen,Einhard-Gymnasium (Halle 1),damen1,herren1
29,81.0,17.0,2025-04-08 19:30:00,DJK Frankenberg 3,BTV Basketball Brühl 2,Einhard-Gymnasium (Halle 1),damen3,herren2
31,45.0,12.0,2025-05-10 13:30:00,DJK Frankenberg Aachen,DJK Köln-Nord,Einhard-Gymnasium (Halle 1),u16w,herren2
